Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Flipkart Customer,5,Terrific,"Wow superb camera phone Very smooth speed and no lag , iphone is the king always Its a beautiful product",2 months ago
apple-iphone-12-white-128-gb,Anurag Lad,5,Perfect product!,The brand is very trustworthy and i got genuine pice at a very low cost.I ordered the green one and trust me the colour was amazing.All the colours but specifically green and purple are nice for look.Thanks to flipkart❤️,4 months ago
apple-iphone-12-white-128-gb,Vishal Gandhi,5,Terrific purchase,Awesome phone … value for money.. Happy with battery life.. Awesome camera features… look at the images snapped using the phone… easy to use.. Just feared about getting scratch at back glass… but using cover helped it…,4 months ago
apple-iphone-12-white-128-gb,Ishu Kumar,5,Mind-blowing purchase,"Guys ,this is just Beast at Every Aspect of Configurations, Full Pack with What You want, Like Best Camera , Best Display, Best Battery for whole Day Use, And Everyone know About Processing Speed👌..",6 months ago
apple-iphone-12-white-128-gb,Suddha Ram boro,5,Awesome,Thanks flipkart i trust you got my device perfectly loved it best phone in it's segment,4 months ago
apple-iphone-12-white-128-gb,Flipkart Customer,5,Awesome,"Excellent product worth for every penny, writing this review after using 7 days, earlier was using iPhone 6Plus now on iPhone 12 😍, faster then anything this else.Excellent Picture quality.Just loved it.!!",6 months ago
apple-iphone-12-white-128-gb,Aman Yadav,5,Brilliant,"It’s my first iPhone ever and I bought it with my earned money through part time jobs in college✌️I am a tech freak so you can trust my views -- A14 Bionic is the fastest, most efficient and reliable processor till date- The camera focuses so quickly that you can take DSLR quality photos.- The screen size 6.1 inches is the most comfortable screen size out there and the OLED retina XDR display is so crisp and everything feels real.- The stereo speakers are so clear even on high volume an...",7 months ago
apple-iphone-12-white-128-gb,Pranjal Dwivedi,5,Must buy!,"Delightful phone, the phone is just a peice of art, sleek, eye catchy, super fast and got everything u need...best one available","Mar, 2021"
apple-iphone-12-white-128-gb,Mohammadhusain Dedhrotiya ,5,Brilliant,Excellent product worth every penny right this review after using 7 days earlier was using phone iPhone 6s now on iPhone 12😍😍 faster than anything this else… excellent picture quality just love it iPhone12,4 months ago
apple-iphone-12-white-128-gb,Indradav Sharma ,5,Must buy!,"I really m glad that i went for i phone in place of all other android devices like the Samsung S series nd one plus . Also , m amazed by the battery life in this i phone . Single charge and its last for a day easily ..Even the gaming experience was great",4 months ago
apple-iphone-12-white-128-gb,Ketan Deodhar,5,Just wow!,"iPhone 6S Plus 64GB -> iPhone 12 128GBMy 2nd iPhone, upgraded after 5 years.Gorgeous display, stunning new blue colour, excellent camera, best hardware-software combination, that’s how I would describe iPhone 12 as a package. 😊Even though my previous iPhone had a 5.5” display and this one has 6.1” display, its overall body size is much smaller. Had to get used to it initially 🙂Opening/closing/loading of apps is fast. No issues there. Video playback on this screen looks gorgeous. Took...","Nov, 2020"
apple-iphone-12-white-128-gb,Devendra Uttekar,5,Just wow!,"Perfect phone , Apple after allGo for it eyes closed if in the budget.Camera best quality, crystal clear photos and super stable videos at 4k 30/60 fps,best slow motion in the phone ever.Performance : best then any android (even 1+ 9 pro )Battery life  last for a day use anyhow.Super smooth software experience.Topnotch security level 💯Very lightweight to hold.",4 months ago
apple-iphone-12-white-128-gb,Philip Augustine ,5,Terrific,This was an awesome buy. I bought this phone for my father who was upgrading from an iPhone 6. He is very happy with this phone. The size is really good. He said that it was even more comfortable to hold than the 6 as it had flat sides. It is Smaller than most android phones but big enough for anything and everything.The performance is Stellar. You won't notice any lag and it's very fast. Ram management is good too. And the phone stays at a reasonable temperature even when using Gmaps. Th...,5 months ago
apple-iphone-12-white-128-gb,varun sahani,5,Awesome,"Switched from Android to iPhone and this transition was really smooth due to its easier GUI. I bought this 128 Gb variant and Didn’t waited for iPhone 13 as iPhone 12 has all ,what one need in a perfect phone. In person white colour seems much sexier than purple and black. Attached pics for the reference.1.OLED Screen is good but by default its much of a warmer tone.You can disable the True tone option.Dark mode is lit 🔥🔥2.Battery 🔋 lasts a day with Wifi ,location and Mobile Data on. Go...",6 months ago
apple-iphone-12-white-128-gb,Flipkart Customer,5,Super!,"The best is yet to come, I am really happy with the product was delivered on time by Flipkart, over all liked the colours it’s a dream come to true to finally have an iPhone. Thank you Flipkart",9 months ago
apple-iphone-12-white-128-gb,Wakilahmed Khan,5,Great product,Night mode is simply amazing and give you a clear and crisp image even when you are in dark.,10 months ago
apple-iphone-12-white-128-gb,Abhijeet Dhonge,5,Terrific purchase,"The Product is fantastic with great nay awesome camera.Battery management is good but still could be better.Display is very beautiful and treat to watch videos.Design is good, gives vintage iphone kind of look.","Jan, 2021"
apple-iphone-12-white-128-gb,Gajendra  Meena,5,Awesome,Green colour is charming and priceless    No weight this iPhone       Totally mind blowing     Battery backup is not best of best but overall hall day backup normally usage  After update new version battery backup superb hall day easily use it     Camera quality awesome night mode superb     Display and 4K video look like live scene      Continue live internet use 7 or 8 hour battery backup,"Dec, 2020"
apple-iphone-12-white-128-gb,Abhishek Batra,4,Pretty good,"I bought this iphone 12 in big billion days and saved alot thank you so much Flipkart for this amazing deal. The phone is great and has perfect camera, security and performance is ver good of this  phone. No lack at all.Battery backup is good you can spend a single day without charging it.Size is perfect as iPhone 11 has same screen size but diffcult to carry but this device is light and perfect in size.I give 4 star because they don’t other accessories now with iPhone.",4 months ago
apple-iphone-12-white-128-gb,VIKRAM KUMAR,5,Excellent,"Best ever delivery by flipkart, got this phone in less than 24hrs, really impressed by the delivery, this is my first ever ios device, and i'm really impressed by its features, camera quality, awesome stereo speaker, oled display is awesome but have some warmth feeling making display little bit yellow, battery backup is awesome.","Dec, 2020"
apple-iphone-12-white-128-gb,Abul Jaish,4,Wonderful,"Bought First Apple product, Awesome design and look.Happy with the performance but little disappointed with no charger and headphone at this price that's why 4 star given.Anyways enjoying the one of the finest iPhone available in Market..Thanks to flipkart for fast delivery.",8 months ago
apple-iphone-12-white-128-gb,Pratik Modak,5,Highly recommended,Best phone ever in 2021My first iphone.. Great and awesome experience- Awesome Camera - Awesome security🔒 features- Great processing capabilitiesAnd many more... ❤🥰🥰🥰❤,9 months ago
apple-iphone-12-white-128-gb, Channa Veera,5,Excellent,I got my product after 10 days from my ordered date but never mind finally i received my iphone 12 its crazyyyyy Trust me if you wanna have any handy Handset and high performance within your budget then you can go for this Its truly Unbeatable,4 months ago
apple-iphone-12-white-128-gb,Flipkart Customer,1,Worst experience ever!,"Overall performance of the phone is good as expected from Apple, but there is major overheating problem with the phone with minor usage and during charging(even with authentic 20w charger). The phone feels real hot even with minor usage especially on upper left side and left side. During charging, the phone gets very hot(not warm, like literally hot), so i have to plug out the charger after 10 minutes to avoid further heating. I don’t know if the problem is only with my device or its general,...",4 months ago
apple-iphone-12-white-128-gb,Sidhant Nayak,5,Worth every penny,"After being a long time samsung user i switched to iphone again after iphone 4s and i am thoroughly enjoying it. Ios 14 is much polished and android users will surely enjoy using ios now. Battry lasts a day with moderate use. Performance, usability, camera, sound and display everything is top notch. Icing on the cake apple car play is much more usable than android auto😬😬",8 months ago
apple-iphone-12-white-128-gb,Kannan G,5,Best in the market!,So far so good. It’s my dream to own an iPhone for over a decade. Finally came true with iPhone 12. Previously owned Samsung S9 plus so competing with android i will say my likes and dislikes.Likes:1. OS is really fluid2. Security features like facial recognition for app installation etc3. Little nuances like ringtone sound reduction automatically after I see the mobile4. Camera is good though still equal to Samsung can’t say extraordinary 5. Facial unlock is really quick6. 5G ready s...,10 months ago
apple-iphone-12-white-128-gb,Vipin BHASKAR,5,Great product,"What a amazing phone ! I bought this amazing beast for my soul mate & she’s very happy and blissful. Wonderful camera , beautiful design must buy worth every penny",7 months ago
